iter	Passed	Remaining
0	2	290
1	4	210
2	5	183
3	6	163
4	8	153
5	9	144
6	10	138
7	11	133
8	12	129
9	14	127
10	16	135
11	18	134
12	19	132
13	21	131
14	22	129
15	24	128
16	26	128
17	28	129
18	31	132
19	32	131
20	34	128
21	35	126
22	36	123
23	38	120
24	39	117
25	40	115
26	41	113
27	43	111
28	44	109
29	46	108
30	47	106
31	49	104
32	50	102
33	51	99
34	52	97
35	54	96
36	55	94
37	57	93
38	58	91
39	60	90
40	61	89
41	62	86
42	63	84
43	64	82
44	65	80
45	67	78
46	68	77
47	70	76
48	71	74
49	73	73
50	75	72
51	76	70
52	78	69
53	79	68
54	80	66
55	81	64
56	83	62
57	84	61
58	85	59
59	87	58
60	88	56
61	90	55
62	92	54
63	93	52
64	94	50
65	95	49
66	96	47
67	98	46
68	99	44
69	100	43
70	101	41
71	103	40
72	104	38
73	106	37
74	107	35
75	108	34
76	109	32
77	110	31
78	112	29
79	113	28
80	114	26
81	115	25
82	117	23
83	118	22
84	119	21
85	121	19
86	122	18
87	123	16
88	124	15
89	126	14
90	127	12
91	129	11
92	130	9
93	132	8
94	134	7
95	136	5
96	137	4
97	138	2
98	139	1
99	140	0
